AdroitHandRelocateDense-v1, AdroitHandHammerDense-v1, AdroitHandDoorDense-v1 environment's reward functions were updated in v1.2.1 without an environment version update. Therefore, use gymnasium-robotics==1.2.0 for v1 reproducibility or use v2 in gymnasium-robotics>=1.4.3. See https://github.com/Farama-Foundation/Gymnasium-Robotics/pull/220 for more details
AdroitHandRelocateDense-v1, AdroitHandHammerDense-v1, AdroitHandDoorDense-v1 environment's reward functions were updated in v1.2.1 without an environment version update. Therefore, use gymnasium-robotics==1.2.0 for v1 reproducibility or use v2 in gymnasium-robotics>=1.4.3. See https://github.com/Farama-Foundation/Gymnasium-Robotics/pull/220 for more details
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[config] task=pointbutton2
Loaded policy: ${CSC_WORKSPACE}/vlm-with-cpl/new_data/outputs/pointbutton2/bc_calfilt_csf_seed3_policy.pt
Ep 300: R=  3.16  C= 35.00  len=1000
Ep 301: R= -1.23  C= 16.00  len=1000
Ep 302: R=  0.53  C= 47.00  len=1000
Ep 303: R=  3.10  C=  0.00  len=1000
Ep 304: R= -5.19  C=  0.00  len=1000
Ep 305: R= 15.91  C= 89.00  len=1000
Ep 306: R=  0.83  C=  0.00  len=1000
Ep 307: R=  8.47  C= 47.00  len=1000
Ep 308: R= -1.14  C=  0.00  len=1000
Ep 309: R= 10.56  C= 16.00  len=1000
Ep 310: R= -0.51  C=  0.00  len=1000
Ep 311: R=  2.63  C=  6.00  len=1000
Ep 312: R=  3.47  C=  0.00  len=1000
Ep 313: R= -1.74  C=  0.00  len=1000
Ep 314: R=  3.33  C= 15.00  len=1000
Ep 315: R= 13.04  C= 62.00  len=1000
Ep 316: R= 19.53  C=  8.00  len=1000
Ep 317: R= -2.72  C=  0.00  len=1000
Ep 318: R= -0.20  C=  0.00  len=1000
Ep 319: R=  0.41  C=  0.00  len=1000
Ep 320: R= -1.69  C=  0.00  len=1000
Ep 321: R= 15.37  C=  4.00  len=1000
Ep 322: R= -0.33  C=  0.00  len=1000
Ep 323: R= -1.94  C=  0.00  len=1000
Ep 324: R=  8.40  C=  0.00  len=1000
Ep 325: R= -2.79  C=  0.00  len=1000
Ep 326: R=  6.49  C=162.00  len=1000
Ep 327: R= 13.42  C=139.00  len=1000
Ep 328: R= -2.37  C=  0.00  len=1000
Ep 329: R=  7.53  C=  3.00  len=1000
Ep 330: R= -2.35  C=  1.00  len=1000
Ep 331: R=  4.71  C=  0.00  len=1000
Ep 332: R=  0.05  C=  0.00  len=1000
Ep 333: R=  5.22  C=  7.00  len=1000
Ep 334: R=  6.42  C= 13.00  len=1000
Ep 335: R= -1.69  C= 46.00  len=1000
Ep 336: R=  0.35  C=  0.00  len=1000
Ep 337: R= 26.29  C= 40.00  len=1000
Ep 338: R= -0.33  C=  0.00  len=1000
Ep 339: R=  1.76  C=  0.00  len=1000
Ep 340: R=  7.13  C=125.00  len=1000
Ep 341: R=  9.99  C= 34.00  len=1000
Ep 342: R= -4.16  C=  0.00  len=1000
Ep 343: R= -1.75  C=  0.00  len=1000
